Next Page Token = CfDJ8G82xNY93phHtA6xMwIf8xOYIvXnlSGkN4rsV3DTQYNrC71Ma5dW_ai5THgBlnJfX2DcbnvmbYlftMz-_mcZeQU
  teamId  teamName               submissionDate              score
--------  ---------------------  --------------------------  -------
15592336  Oscar Le               2026-06-08 19:32:03.280000  0.94406
15748149  Nguyễn Đức Danh        2026-06-09 00:57:29.706000  0.94052
16002936  Harsh Rajbhar          2026-06-08 21:41:18.896000  0.93925
15986840  ENZO_NUM               2026-06-08 21:42:38.426000  0.93739
15656569  Emre Cirak             2026-05-25 20:51:27.846000  0.93344
16065027  Knight of Favonius     2026-06-09 09:26:45.063000  0.93283
15729634  GAURAV PARKHEDKAR      2026-06-09 10:37:25.043000  0.93168
16007936  FRISTY                 2026-06-05 22:26:52.740000  0.92667
16062649  Adi Kusuma             2026-06-09 09:40:23.023000  0.92666
16038924  adarsh_rajbhar1234@    2026-05-31 21:36:48.963000  0.92647
15756050  ömer kiraz             2026-06-09 12:30:36.136000  0.92218
16024322  mindset324             2026-05-31 21:49:02.306000  0.92167
16007928  CORE CLOCK             2026-06-02 14:30:01.786000  0.92053
15796640  YES I CAN              2026-06-08 22:45:07.573000  0.92016
16244910  konichiwasepogaichi    2026-06-08 08:16:49.113000  0.90076
15592591  Muhammad Haaris 27083  2026-06-09 03:10:00.096000  0.89092
16093675  Vandit                 2026-05-30 14:29:53.186000  0.89004
15743210  KoiralaAnand           2026-06-03 10:21:00.403000  0.88671
16092905  Team Awesome           2026-06-07 18:53:13.230000  0.86036
16245548  Prabhpreet_Singh5      2026-06-09 12:32:13.403000  0.85890
