Next Page Token = CfDJ8G82xNY93phHtA6xMwIf8xNVPcAoxUTOr6WSZSCjein7nFvR7YVTrkGa52ketpA78hKsc1qlm_1JWpU0lmqSkRc
  teamId  teamName               submissionDate              score    
--------  ---------------------  --------------------------  -------  
15748149  Nguyễn Đức Danh        2026-06-02 00:56:14.203000  0.95099  
15592336  Oscar Le               2026-06-06 17:00:57.406000  0.93787  
16065027  Knight of Favonius     2026-06-07 05:21:46.213000  0.93576  
16002936  Harsh Rajbhar          2026-06-06 16:41:50.596000  0.93568  
15656569  Emre Cirak             2026-05-25 20:51:27.846000  0.93279  
16038924  adarsh_rajbhar1234@    2026-05-31 21:36:48.963000  0.93250  
15986840  ENZO_NUM               2026-06-06 14:08:15.186000  0.93250  
16007928  CORE CLOCK             2026-06-02 14:30:01.786000  0.93250  
16024322  mindset324             2026-05-31 21:49:02.306000  0.93191  
15796640  YES I CAN              2026-06-04 19:29:50.636000  0.92735  
16007936  FRISTY                 2026-06-05 22:26:52.740000  0.92709  
15743210  KoiralaAnand           2026-06-03 10:21:00.403000  0.89856  
16093675  Vandit                 2026-05-30 14:29:53.186000  0.89344  
15600626  WBF_USA_NYC            2026-06-02 12:35:49.146000  0.86608  
15592591  Muhammad Haaris 27083  2026-05-30 18:09:42.706000  0.86285  
16092905  Yash Purbhe            2026-06-02 19:15:13.773000  0.86109  
15916384  NLP is better than CV  2026-05-17 11:40:04.230000  0.86015  
15756050  ömer kiraz             2026-05-20 11:32:04.253000  0.85904  
16019564  THe_vK                 2026-05-28 08:41:12.613000  0.84520  
16072527  Panagiotis Niarchos    2026-05-28 11:01:25.166000  0.84424  
